source,year,category,sub_indicator,weight_pct,classification,notes
재정사업자율평가,2016+,사업계획적정성,사업계획 적정성,10,other,2016년 통합개편 이후 고정; PART 방식 모방 2005 도입
재정사업자율평가,2016+,집행효율성,집행 효율성,30,timing,예산집행률·집행절차 포함; 집행률 proxy
재정사업자율평가,2016+,성과달성도,성과 달성도,40,quality,사업 목표치 대비 달성 실적
재정사업자율평가,2016+,성과우수성,성과 우수성,10,quality,우수 사업 가점 성격
재정사업자율평가,2016+,환류및개선노력,환류 및 개선노력,10,other,피드백 반영 노력
재정사업자율평가,2016+,가감점,가감점(항목별),3,other,항목별 ±3점 가감
경영평가편람_공기업,2019,경영관리,경영관리(전체),55,other,공기업 기준 2019
경영평가편람_공기업,2019,주요사업,주요사업(전체),45,other,공기업 기준 2019
경영평가편람_준정부위탁,2019,경영관리,경영관리(전체),45,other,위탁집행형 2019
경영평가편람_준정부위탁,2019,주요사업,주요사업(전체),55,other,위탁집행형 2019
경영평가편람_준정부기금,2019,경영관리,경영관리(전체),50,other,기금관리형 2019
경영평가편람_준정부기금,2019,주요사업,주요사업(전체),50,other,기금관리형 2019
경영평가편람_준정부위탁,2023,주요사업_계량,주요사업 계량지표,31,timing,계량지표 = 집행률·실적수치 proxy (위탁집행형)
경영평가편람_준정부위탁,2023,주요사업_비계량,주요사업 비계량지표,24,quality,비계량 = 성과·질적 평가 proxy (위탁집행형)
경영평가편람_준정부기금,2023,주요사업_계량,주요사업 계량지표,26,timing,기금관리형 계량지표
경영평가편람_준정부기금,2023,주요사업_비계량,주요사업 비계량지표,24,quality,기금관리형 비계량지표
경영평가편람_준정부위탁,2025,주요사업,주요사업(전체),60,other,2025 개정: 5점 확대(55→60); 사업성과 강화
경영평가편람_공기업,2025,주요사업,주요사업(전체),50,other,2025 개정: 5점 확대(45→50)
경영평가편람_준정부기금,2025,주요사업,주요사업(전체),55,other,2025 개정: 5점 확대(50→55)
경영평가편람_공기업,2019,경영관리_계량,경영관리 계량지표(전체),27.5,timing,공기업; 경영관리 내 계량 비중
경영평가편람_준정부위탁,2019,경영관리_계량,경영관리 계량지표(전체),21.5,timing,위탁집행형; 경영관리 내 계량 비중
경영평가편람_준정부기금,2019,경영관리_계량,경영관리 계량지표(전체),25.5,timing,기금관리형; 경영관리 내 계량 비중
NST출연기관,2024,연구사업평가,대표연구성과,25,quality,질적 우수성; 25/35 = 71% of 연구사업
NST출연기관,2024,연구사업평가,종합연구실적,10,quality,양적 실적; 10/35 = 29% of 연구사업
NST출연기관,2024,기관운영평가,공통영역(외부평가),25,other,정량 환산; 집행률 간접 포함 가능
NST출연기관,2024,기관운영평가,자율영역(성과목표),50,quality,성과목표별 정성평가
NST출연기관,2024,기관운영평가,현안대응영역,15,other,정책대응
NST출연기관,2024,기관운영평가,기관장우수성과,10,quality,기관장 기여 우수성과
NST출연기관_연구사업,2024,연구수행적절성,연구수행의 적절성,30,timing,정성; 수행과정 적절성 — timing proxy
NST출연기관_연구사업,2024,연구성과우수성,연구성과의 우수성,40,quality,산출물 질적 우수성
NST출연기관_연구사업,2024,연구결과영향력,연구결과의 영향력,30,quality,파급효과 사례분석
